min_num_participants,min_num_takes,min_num_cancels,strict_fail,strict_success,method,min_reaction_time,info_hor_upper_bound,len_fixed_hor
2,1,0,FALSE,FALSE,Info_Horizon,29,500,
2,1,0,FALSE,FALSE,Fixed_Horizon,,,50
2,1,0,FALSE,FALSE,Fixed_Horizon,,,100
2,1,0,TRUE,FALSE,Fixed_Horizon,,,500
2,1,0,TRUE,FALSE,Fixed_Horizon,,,1000
3,1,0,FALSE,FALSE,Info_Horizon,29,500,
3,1,0,FALSE,FALSE,Fixed_Horizon,,,50
3,1,0,FALSE,FALSE,Fixed_Horizon,,,100
3,1,0,TRUE,FALSE,Fixed_Horizon,,,500
3,1,0,TRUE,FALSE,Fixed_Horizon,,,1000
